Fuel_Type,Kilometers_Driven,Transmission_Type,No_of_Owners,Manufactured_By,Car_Model,Car_Produced_Year,Car_Price,Registration_Year,No_of_Seats,Engine_CC,Mileage(kmpl),Location
Petrol,30000,Manual,1,Toyota,Toyota Yaris,2018,7.5,2018,5,1496,17.1,Bangalore
Petrol,64374,Automatic,1,Honda,Honda Jazz,2018,7.55,2018,6,1199,19.0,Bangalore
Diesel,30000,Manual,1,MG,MG Hector,2021,17.5,2021,5,1956,17.41,Bangalore
Petrol,7100,Automatic,1,Hyundai,Hyundai Alcazar,2022,20.83,2022,6,1999,14.2,Bangalore
Petrol,43679,Manual,1,Hyundai,Hyundai i10,2010,2.71,2010,5,1086,19.81,Bangalore
Petrol,40000,Automatic,1,Hyundai,Hyundai Creta,2018,12.8,2018,5,1591,14.8,Bangalore
Diesel,40562,Manual,1,Hyundai,Hyundai i20,2012,4.36,2012,5,1396,22.54,Bangalore
Petrol,26500,Automatic,2,Hyundai,Hyundai Creta,2021,16.75,2021,5,1397,13.0,Bangalore
Petrol,20000,Automatic,1,Hyundai,Hyundai Venue,2019,12.5,2019,5,998,18.15,Bangalore
Diesel,58600,Automatic,1,Mahindra,Mahindra XUV500,2016,13.5,2016,7,2179,16.0,Bangalore
Petrol,42050,Automatic,1,Volkswagen,Volkswagen T-Roc,2020,22.25,2020,5,1498,18.4,Bangalore
Petrol,65017,Automatic,1,Maruti,Maruti Celerio,2015,4.75,2016,5,998,23.1,Bangalore
Diesel,80000,Automatic,2,BMW,BMW 3 Series,2008,6.0,2008,5,1995,13.2,Bangalore
Petrol,30000,Automatic,1,Jeep,Jeep Compass,2021,24.5,2021,5,1368,14.1,Bangalore
Petrol,20000,Automatic,1,Kia,Kia Seltos,2020,16.25,2020,5,1353,16.5,Bangalore
Diesel,36349,Automatic,1,Skoda,Skoda Superb,2014,16.5,2014,3,1968,17.2,Bangalore
Petrol,80000,Manual,3,Hyundai,Hyundai i10,2009,2.49,2009,5,1197,20.36,Bangalore
Petrol,83394,Manual,2,Renault,Renault Duster,2014,6.3,2014,8,1598,13.24,Bangalore
Diesel,30000,Automatic,2,Audi,Audi Q5,2016,25.99,2016,5,1968,14.16,Bangalore
Petrol,52204,Manual,1,Maruti,Maruti Alto K10,2017,3.85,2017,5,998,24.39,Bangalore
Petrol,110000,Manual,3,Hyundai,Hyundai i20,2012,3.0,2012,5,1197,17.0,Bangalore
Diesel,89000,Automatic,1,Ford,Ford Endeavour,2017,29.75,2017,7,3198,10.91,Bangalore
Petrol,29813,Manual,2,Maruti,Maruti Alto 800,2014,2.76,2014,5,796,22.05,Bangalore
Petrol,30000,Manual,1,Ford,Ford Figo,2018,5.0,2018,5,1196,18.16,Bangalore
Petrol,13345,Automatic,1,Maruti,Maruti Ignis,2020,7.3,2020,5,1197,20.89,Bangalore
Diesel,17100,Automatic,1,Hyundai,Hyundai Alcazar,2022,22.45,2022,7,1498,18.1,Bangalore
Petrol,75000,Manual,1,Hyundai,Hyundai Grand i10,2014,3.99,2014,5,1197,18.9,Bangalore
Petrol,75523,Manual,2,Hyundai,Hyundai i10,2011,3.12,2011,5,1197,20.36,Bangalore
Diesel,47000,Manual,1,Mahindra,Mahindra XUV500,2015,12.75,2015,7,2179,16.0,Bangalore
Diesel,36500,Manual,1,Tata,Tata Harrier,2022,19.9,2022,5,1956,16.35,Bangalore
Petrol,28253,Manual,1,Renault,Renault Triber,2020,7.19,2020,7,999,20.0,Bangalore
Diesel,50000,Manual,1,Hyundai,Hyundai Creta,2016,12.6,2016,5,1582,19.67,Bangalore
Petrol,90000,Manual,2,Hyundai,Hyundai i10,2010,3.0,2010,5,1197,20.36,Bangalore
